ID,Status,Chapter,Action,Verification
T01,CLOSED — CORRECTED,Chapter 2 — The Poisoned Feed,"Insert a visible scene break before “Two floors below ground, Elias Thorne...”",1 change location(s) verified
T02,CLOSED — CORRECTED,Chapter 2 — The Poisoned Feed,"Split after “No one shut them off.” and insert a visible scene break before Julie returns.",1 change location(s) verified
T03,CLOSED — CORRECTED,Chapter 2 — The Poisoned Feed,"Insert the explicit Julie action beat identifying the carrier-noise observation.",1 change location(s) verified
D01,CLOSED — CORRECTED,Prologue — Six Years Ago,"Insert a new paragraph before “Hargrove’s jaw tightened.”",1 change location(s) verified
D02,CLOSED — CORRECTED,Chapter 2 — The Poisoned Feed,"Insert a new paragraph before “Julie looked at the repeated carrier pattern.”",1 change location(s) verified
D03,CLOSED — CORRECTED,Chapter 2 — The Poisoned Feed,"Insert a new paragraph before “Sarah paused long enough for the compliance recorder to remain audible.”",1 change location(s) verified
D04,CLOSED — CORRECTED,Chapter 6 — The Descent,"Insert new paragraphs before “Elias pointed straight ahead.” and “Julie heard the qualification.”",2 change location(s) verified
D05,CLOSED — CORRECTED,Chapter 6 — The Descent,"Insert a new paragraph before “Marcus stood.”",1 change location(s) verified
D06,CLOSED — CORRECTED,Chapter 6 — The Descent,"Insert a new paragraph before “Julie took the case from Elias.”",1 change location(s) verified
D07,CLOSED — CORRECTED,Chapter 7 — The Human Key,"Insert a new paragraph before “Julie watched the white cloud thin.”",1 change location(s) verified
D08,CLOSED — CORRECTED,Chapter 7 — The Human Key,"Insert a new paragraph before “Mercer answered through background static.”",1 change location(s) verified
D09,CLOSED — CORRECTED,Chapter 7 — The Human Key,"Insert a new paragraph before “Vance’s voice remained quiet.”",1 change location(s) verified
D10,CLOSED — CORRECTED,Chapter 8 — The 05:00 Abort,"Insert a new paragraph before “Elias opened the sealed recovery record.”",1 change location(s) verified
D11,CLOSED — CORRECTED,Chapter 8 — The 05:00 Abort,"Insert a new paragraph before “Elias looked at her instead of the route.”",1 change location(s) verified
D12,CLOSED — CORRECTED,Chapter 9 — The Life-Safety Override,"Insert a new paragraph before “Vance said,”",1 change location(s) verified
D13,CLOSED — CORRECTED,Chapter 9 — The Life-Safety Override,"Insert a new paragraph before “Marcus looked down at his right leg.”",1 change location(s) verified
D14,CLOSED — CORRECTED,Chapter 10 — The Capital Connection,"Insert a new paragraph before “Julie kept her eyes on the road.”",1 change location(s) verified
D15,CLOSED — CORRECTED,Chapter 10 — The Capital Connection,"Insert new paragraphs before “Julie kept her eyes on the certificate fields.” and “Elias pulled the blanket tighter around his shoulders.”",2 change location(s) verified
D16,CLOSED — CORRECTED,Chapter 10 — The Capital Connection,"Insert a new paragraph before “Marcus looked toward the garage wall,”",1 change location(s) verified
D17,CLOSED — CORRECTED,Chapter 10 — The Capital Connection,"Insert a new paragraph before “Julie shook her head.”",1 change location(s) verified
D18,CLOSED — CORRECTED,Chapter 11 — Going Offensive,"Insert a new paragraph before “Marcus waited until the transmission ended.”",1 change location(s) verified
D19,CLOSED — CORRECTED,Chapter 11 — Going Offensive,"Insert new paragraphs before “Julie said,” and “His eyes lifted.”",2 change location(s) verified
D20,CLOSED — CORRECTED,Chapter 11 — Going Offensive,"Insert a new paragraph before “Marcus studied her.”",1 change location(s) verified
D21,CLOSED — CORRECTED,Chapter 12 — The Sterling Trap,"Insert a new paragraph before “Bell studied him.”",1 change location(s) verified
D22,CLOSED — CORRECTED,Chapter 12 — The Sterling Trap,"Insert a new paragraph before “Chen answered over the same channel.”",1 change location(s) verified
D23,CLOSED — CORRECTED,Chapter 14 — The Witness Line,"Insert a new paragraph before “Chen did not debate him.”",1 change location(s) verified
D24,CLOSED — CORRECTED,Chapter 15 — The Split Record,"Insert a new paragraph before “Ortiz looked at Julie.”",1 change location(s) verified
D25,CLOSED — CORRECTED,Chapter 15 — The Split Record,"Insert new paragraphs before “Vance said,” and “Elias’s face tightened.”",2 change location(s) verified
D26,CLOSED — CORRECTED,Chapter 15 — The Split Record,"Insert a new paragraph before “He looked back at Ortiz.”",1 change location(s) verified
D27,CLOSED — CORRECTED,Chapter 16 — The Hold Order,"Insert a new paragraph before “Alvarez heard her through the open door.”",1 change location(s) verified
D28,CLOSED — CORRECTED,Chapter 16 — The Hold Order,"Insert new paragraphs before “Sarah turned the two directives on the display.” and “Vance looked at the draft.”",2 change location(s) verified
D29,CLOSED — CORRECTED,Chapter 17 — The First Examination,"Insert new paragraphs before “Grant looked at the screen.” and “The counsel tried again.”",2 change location(s) verified
D30,CLOSED — CORRECTED,Chapter 17 — The First Examination,"Insert a new paragraph before “Elias’s attorney looked toward him.”",1 change location(s) verified
D31,CLOSED — CORRECTED,Chapter 17 — The First Examination,"Insert a new paragraph before “The DIA representative answered carefully.”",1 change location(s) verified
D32,CLOSED — CORRECTED,Chapter 18 — The Local Record,"Insert a new paragraph before “Sharma held Pal’s gaze long enough to show she had heard him.”",1 change location(s) verified
D33,CLOSED — CORRECTED,Chapter 19 — The Name on the Record,"Insert a new paragraph before “Julie corrected him.”",1 change location(s) verified
D34,CLOSED — CORRECTED,Chapter 20 — The Custody Exception,"Insert a new paragraph before “Alvarez shook her head.”",1 change location(s) verified
D35,CLOSED — CORRECTED,Chapter 20 — The Custody Exception,"Insert a new paragraph before “Grant answered from Hartwell.”",1 change location(s) verified
